element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.0123081719503
5,C3D8,0.0,0.0,0.0,-0.0130708124489
9,C3D8,0.0,0.0,0.0,0.0121576823294
13,C3D8,0.0,0.0,0.0,-0.00629618484527
17,C3D8,0.0128250513226,0.0623674541712,0.0,0.00510322116315
21,C3D8,0.00765190366656,0.237879380584,0.0,-0.0100974943489
27,C3D8,0.0,0.0,0.0,-0.012278791517
31,C3D8,0.0,0.0,0.0,0.0109418295324
35,C3D8,0.0,0.0,0.0,-0.0162146147341
39,C3D8,0.0,0.0,0.0,0.0153406206518
43,C3D8,0.0,0.0,0.0,-0.0170423202217
47,C3D8,0.0,0.0,0.0,0.0133894588798
48,C3D8,0.0,0.0,0.0,0.0130316661671
52,C3D8,0.0,0.0,0.0,-0.0110402945429
56,C3D8,0.0,0.0,0.0,0.012802105397
60,C3D8,0.0,0.0,0.0,-0.0110188759863
64,C3D8,0.0,0.0,0.0,0.00866629648954
68,C3D8,0.0,0.0,0.0,-0.0120207080618
74,C3D8,0.0,0.0,0.0,-0.0164183527231
78,C3D8,0.0,0.0,0.0,0.0138231497258
82,C3D8,0.00786945410073,0.137363910675,0.0,-0.0106685701758
86,C3D8,0.0,0.0,0.0,0.0140895722434
90,C3D8,0.0,0.0,0.0,-0.0121860010549
94,C3D8,0.0,0.0,0.0,0.0124080153182
95,C3D8,0.0,0.0,0.0,0.0117365336046
99,C3D8,0.0,0.0,0.0,-0.010671951808
103,C3D8,0.0,0.0,0.0,0.0102733774111
107,C3D8,0.0,0.0,0.0,-0.0108370762318
111,C3D8,0.0,0.0,0.0,0.0116134276614
115,C3D8,0.0,0.0,0.0,-0.0151350945234
121,C3D8,0.0,0.0,0.0,-0.0154082821682
125,C3D8,0.0,0.0,0.0,0.0170423127711
129,C3D8,0.00703093782067,0.0593370124698,0.0,-0.0133454594761
133,C3D8,0.0,0.0,0.0,0.0102222152054
137,C3D8,0.0,0.0,0.0,-0.00912394188344
141,C3D8,0.0,0.0,0.0,0.00993056595325
142,C3D8,0.0,0.0,0.0,0.0114976195619
146,C3D8,0.0,0.0,0.0,-0.0108929155394
150,C3D8,0.0,0.0,0.0,0.0120328497142
154,C3D8,0.0,0.0,0.0,-0.00906581431627
158,C3D8,0.00404502963647,0.0051511079073,0.0,0.0092400861904
162,C3D8,0.0,0.0,0.0,-0.00969622656703
168,C3D8,0.0,0.0,0.0,-0.0123057682067
172,C3D8,0.0,0.0,0.0,0.0151781272143
