element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00808072276413
5,C3D8,0.0,0.0,0.0,-0.00798446498811
9,C3D8,0.0,0.0,0.0,0.00778616499156
13,C3D8,0.0,0.0,0.0,-0.00775005621836
17,C3D8,0.0,0.0,0.0,0.00763141131029
21,C3D8,0.0,0.0,0.0,-0.0076420865953
27,C3D8,0.0,0.0,0.0,-0.00749478070065
31,C3D8,0.0,0.0,0.0,0.00767411757261
35,C3D8,0.0,0.0,0.0,-0.00772430887446
39,C3D8,0.0,0.0,0.0,0.00784847699106
43,C3D8,0.0,0.0,0.0,-0.007866891101
47,C3D8,0.0,0.0,0.0,0.00805766228586
48,C3D8,0.0,0.0,0.0,0.00801618117839
52,C3D8,0.0,0.0,0.0,-0.00778558151796
56,C3D8,0.0,0.0,0.0,0.00752253644168
60,C3D8,0.0,0.0,0.0,-0.00754485838115
64,C3D8,0.0,0.0,0.0,0.00739948032424
68,C3D8,0.0,0.0,0.0,-0.00756641849875
74,C3D8,0.0,0.0,0.0,-0.00762784527615
78,C3D8,0.0,0.0,0.0,0.0079396488145
82,C3D8,0.0,0.0,0.0,-0.00798499397933
86,C3D8,0.0,0.0,0.0,0.00814738776535
90,C3D8,0.0,0.0,0.0,-0.00808597914875
94,C3D8,0.0,0.0,0.0,0.00800534524024
95,C3D8,0.0,0.0,0.0,0.00797298923135
99,C3D8,0.0,0.0,0.0,-0.00775505462661
103,C3D8,0.0,0.0,0.0,0.00743691762909
107,C3D8,0.0,0.0,0.0,-0.00750128319487
111,C3D8,0.0,0.0,0.0,0.00733055686578
115,C3D8,0.0,0.0,0.0,-0.00759413419291
121,C3D8,0.0,0.0,0.0,-0.00767674762756
125,C3D8,0.0,0.0,0.0,0.00805861782283
129,C3D8,0.0,0.0,0.0,-0.0080882254988
133,C3D8,0.0,0.0,0.0,0.00826676562428
137,C3D8,0.0,0.0,0.0,-0.00813769642264
141,C3D8,0.0,0.0,0.0,0.00798754300922
142,C3D8,0.0,0.0,0.0,0.00801890809089
146,C3D8,0.0,0.0,0.0,-0.00776205444708
150,C3D8,0.0,0.0,0.0,0.00748453754932
154,C3D8,0.0,0.0,0.0,-0.00751226302236
158,C3D8,0.0,0.0,0.0,0.00736776599661
162,C3D8,0.0,0.0,0.0,-0.00755296600983
168,C3D8,0.0,0.0,0.0,-0.00763955200091
172,C3D8,0.0,0.0,0.0,0.00794378761202
176,C3D8,0.0,0.0,0.0,-0.00800409447402
180,C3D8,0.0,0.0,0.0,0.00815463159233
184,C3D8,0.0,0.0,0.0,-0.00808632839471
188,C3D8,0.0,0.0,0.0,0.00798790343106
189,C3D8,0.0,0.0,0.0,0.00805748812854
193,C3D8,0.0,0.0,0.0,-0.00783134903759
197,C3D8,0.0,0.0,0.0,0.00766099337488
201,C3D8,0.0,0.0,0.0,-0.0076264180243
205,C3D8,0.0,0.0,0.0,0.00752212014049
209,C3D8,0.0,0.0,0.0,-0.00754810124636
215,C3D8,0.0,0.0,0.0,-0.00754478853196
219,C3D8,0.0,0.0,0.0,0.00770631339401
223,C3D8,0.0,0.0,0.0,-0.00777452578768
227,C3D8,0.0,0.0,0.0,0.00788415689021
231,C3D8,0.0,0.0,0.0,-0.00791308190674
235,C3D8,0.0,0.0,0.0,0.00794216152281
