element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00915893726051
5,C3D8,0.0,0.0,0.0,-0.00908279046416
9,C3D8,0.0,0.0,0.0,0.00889599137008
13,C3D8,0.0,0.0,0.0,-0.008873780258
17,C3D8,0.0,0.0,0.0,0.00876284204423
21,C3D8,0.0,0.0,0.0,-0.00878849998116
27,C3D8,0.0,0.0,0.0,-0.00864230748266
31,C3D8,0.0,0.0,0.0,0.00881257094443
35,C3D8,0.0,0.0,0.0,-0.00885032303631
39,C3D8,0.0,0.0,0.0,0.00896462798119
43,C3D8,0.0,0.0,0.0,-0.00896858144552
47,C3D8,0.0,0.0,0.0,0.00914121046662
48,C3D8,0.0,0.0,0.0,0.00910224951804
52,C3D8,0.0,0.0,0.0,-0.00888913590461
56,C3D8,0.0,0.0,0.0,0.00863547530025
60,C3D8,0.0,0.0,0.0,-0.00867234449834
64,C3D8,0.0,0.0,0.0,0.0085340924561
68,C3D8,0.0,0.0,0.0,-0.0087131652981
74,C3D8,0.0,0.0,0.0,-0.00876912008971
78,C3D8,0.0,0.0,0.0,0.00906809326261
82,C3D8,0.0,0.0,0.0,-0.00910122320056
86,C3D8,0.0,0.0,0.0,0.0092534897849
90,C3D8,0.0,0.0,0.0,-0.00918344873935
94,C3D8,0.0,0.0,0.0,0.00909543037415
95,C3D8,0.0,0.0,0.0,0.00906421709806
99,C3D8,0.0,0.0,0.0,-0.0088602527976
103,C3D8,0.0,0.0,0.0,0.00854921713471
107,C3D8,0.0,0.0,0.0,-0.0086263269186
111,C3D8,0.0,0.0,0.0,0.00846300367266
115,C3D8,0.0,0.0,0.0,-0.00873627699912
121,C3D8,0.0,0.0,0.0,-0.0088062081486
125,C3D8,0.0,0.0,0.0,0.0091770850122
129,C3D8,0.0,0.0,0.0,-0.00919633731246
133,C3D8,0.0,0.0,0.0,0.00936608947814
137,C3D8,0.0,0.0,0.0,-0.00922950729728
141,C3D8,0.0,0.0,0.0,0.00908017531037
142,C3D8,0.0,0.0,0.0,0.00910435523838
146,C3D8,0.0,0.0,0.0,-0.00886641349643
150,C3D8,0.0,0.0,0.0,0.00859868712723
154,C3D8,0.0,0.0,0.0,-0.00863998383284
158,C3D8,0.0,0.0,0.0,0.00850225705653
162,C3D8,0.0,0.0,0.0,-0.00869994517416
168,C3D8,0.0,0.0,0.0,-0.00877916160971
172,C3D8,0.0,0.0,0.0,0.00907243788242
176,C3D8,0.0,0.0,0.0,-0.00911870319396
180,C3D8,0.0,0.0,0.0,0.00926096085459
184,C3D8,0.0,0.0,0.0,-0.00918305385858
188,C3D8,0.0,0.0,0.0,0.00907872617245
189,C3D8,0.0,0.0,0.0,0.00914121139795
193,C3D8,0.0,0.0,0.0,-0.00893506780267
197,C3D8,0.0,0.0,0.0,0.00877782329917
201,C3D8,0.0,0.0,0.0,-0.00875396560878
205,C3D8,0.0,0.0,0.0,0.00865997094661
209,C3D8,0.0,0.0,0.0,-0.00869699474424
215,C3D8,0.0,0.0,0.0,-0.00869524758309
219,C3D8,0.0,0.0,0.0,0.00884774886072
223,C3D8,0.0,0.0,0.0,-0.00890342984349
227,C3D8,0.0,0.0,0.0,0.00900301057845
231,C3D8,0.0,0.0,0.0,-0.00901756435633
235,C3D8,0.0,0.0,0.0,0.0090344985947
236,C3D8,0.0,0.0,0.0,0.00905926618725
240,C3D8,0.0,0.0,0.0,-0.00898111984134
244,C3D8,0.0,0.0,0.0,0.00900129042566
248,C3D8,0.0,0.0,0.0,-0.00894017331302
252,C3D8,0.0,0.0,0.0,0.00889692828059
256,C3D8,0.0,0.0,0.0,-0.00878635700792
262,C3D8,0.0,0.0,0.0,-0.00865401700139
266,C3D8,0.0,0.0,0.0,0.00865755788982
270,C3D8,0.0,0.0,0.0,-0.00868628639728
274,C3D8,0.0,0.0,0.0,0.00873508211225
278,C3D8,0.0,0.0,0.0,-0.00881672743708
282,C3D8,0.0,0.0,0.0,0.00887383706868
283,C3D8,0.0,0.0,0.0,0.00889560766518
287,C3D8,0.0,0.0,0.0,-0.00900914426893
291,C3D8,0.0,0.0,0.0,0.00918970629573
295,C3D8,0.0,0.0,0.0,-0.00912051834166
299,C3D8,0.0,0.0,0.0,0.00913567654788
303,C3D8,0.0,0.0,0.0,-0.00890100933611
309,C3D8,0.0,0.0,0.0,-0.00872872490436
313,C3D8,0.0,0.0,0.0,0.00855267327279
317,C3D8,0.0,0.0,0.0,-0.00857751164585
321,C3D8,0.0,0.0,0.0,0.0085461223498
325,C3D8,0.0,0.0,0.0,-0.0086656389758
