element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00700270105153
5,C3D8,0.0,0.0,0.0,-0.00694734510034
9,C3D8,0.0,0.0,0.0,0.00680741714314
13,C3D8,0.0,0.0,0.0,-0.00679309293628
17,C3D8,0.0,0.0,0.0,0.00670887669548
21,C3D8,0.0,0.0,0.0,-0.00673286430538
27,C3D8,0.0,0.0,0.0,-0.0066153742373
31,C3D8,0.0,0.0,0.0,0.00674874475226
35,C3D8,0.0,0.0,0.0,-0.00677323900163
39,C3D8,0.0,0.0,0.0,0.00686166994274
43,C3D8,0.0,0.0,0.0,-0.00686008483171
47,C3D8,0.0,0.0,0.0,0.00698782270774
48,C3D8,0.0,0.0,0.0,0.00696303229779
52,C3D8,0.0,0.0,0.0,-0.00679916003719
56,C3D8,0.0,0.0,0.0,0.00660916976631
60,C3D8,0.0,0.0,0.0,-0.00663784658536
64,C3D8,0.0,0.0,0.0,0.00653497269377
68,C3D8,0.0,0.0,0.0,-0.00667266780511
74,C3D8,0.0,0.0,0.0,-0.00671298801899
78,C3D8,0.0,0.0,0.0,0.00694010220468
82,C3D8,0.0,0.0,0.0,-0.00696493405849
86,C3D8,0.0,0.0,0.0,0.00707878358662
90,C3D8,0.0,0.0,0.0,-0.00702653825283
94,C3D8,0.0,0.0,0.0,0.00695480778813
95,C3D8,0.0,0.0,0.0,0.00693525373936
99,C3D8,0.0,0.0,0.0,-0.00677562924102
103,C3D8,0.0,0.0,0.0,0.00654400279745
107,C3D8,0.0,0.0,0.0,-0.00660178996623
111,C3D8,0.0,0.0,0.0,0.00648168846965
115,C3D8,0.0,0.0,0.0,-0.00668696174398
121,C3D8,0.0,0.0,0.0,-0.00674284389243
125,C3D8,0.0,0.0,0.0,0.00702244509012
129,C3D8,0.0,0.0,0.0,-0.00703829247504
133,C3D8,0.0,0.0,0.0,0.00716456631199
137,C3D8,0.0,0.0,0.0,-0.00706250453368
141,C3D8,0.0,0.0,0.0,0.00694451015443
142,C3D8,0.0,0.0,0.0,0.0069652730599
146,C3D8,0.0,0.0,0.0,-0.00678157014772
150,C3D8,0.0,0.0,0.0,0.00658136885613
154,C3D8,0.0,0.0,0.0,-0.0066130515188
158,C3D8,0.0,0.0,0.0,0.00651080114767
162,C3D8,0.0,0.0,0.0,-0.00666266679764
168,C3D8,0.0,0.0,0.0,-0.00671978760511
172,C3D8,0.0,0.0,0.0,0.00694505078718
176,C3D8,0.0,0.0,0.0,-0.00697897421196
180,C3D8,0.0,0.0,0.0,0.00708645768464
184,C3D8,0.0,0.0,0.0,-0.00702639855444
188,C3D8,0.0,0.0,0.0,0.00694284494966
189,C3D8,0.0,0.0,0.0,0.00699208071455
193,C3D8,0.0,0.0,0.0,-0.00683658476919
197,C3D8,0.0,0.0,0.0,0.00671894848347
201,C3D8,0.0,0.0,0.0,-0.00670254323632
205,C3D8,0.0,0.0,0.0,0.00663097016513
209,C3D8,0.0,0.0,0.0,-0.0066631375812
215,C3D8,0.0,0.0,0.0,-0.00665646139532
219,C3D8,0.0,0.0,0.0,0.00677554914728
223,C3D8,0.0,0.0,0.0,-0.00681541394442
227,C3D8,0.0,0.0,0.0,0.00689188111573
231,C3D8,0.0,0.0,0.0,-0.00689988257363
235,C3D8,0.0,0.0,0.0,0.00690949056298
236,C3D8,0.0,0.0,0.0,0.00693363137543
240,C3D8,0.0,0.0,0.0,-0.00687514571473
244,C3D8,0.0,0.0,0.0,0.00688967388123
248,C3D8,0.0,0.0,0.0,-0.00684483908117
252,C3D8,0.0,0.0,0.0,0.00681120529771
256,C3D8,0.0,0.0,0.0,-0.00672804564238
262,C3D8,0.0,0.0,0.0,-0.00663175899535
266,C3D8,0.0,0.0,0.0,0.00662969099358
270,C3D8,0.0,0.0,0.0,-0.00665301643312
274,C3D8,0.0,0.0,0.0,0.00668811472133
278,C3D8,0.0,0.0,0.0,-0.00674931658432
282,C3D8,0.0,0.0,0.0,0.00678998464718
283,C3D8,0.0,0.0,0.0,0.00681371893734
287,C3D8,0.0,0.0,0.0,-0.00690020387992
291,C3D8,0.0,0.0,0.0,0.00703291874379
295,C3D8,0.0,0.0,0.0,-0.00698295235634
299,C3D8,0.0,0.0,0.0,0.0069915172644
303,C3D8,0.0,0.0,0.0,-0.00681506562978
309,C3D8,0.0,0.0,0.0,-0.00668617477641
313,C3D8,0.0,0.0,0.0,0.00655031297356
317,C3D8,0.0,0.0,0.0,-0.00656827026978
321,C3D8,0.0,0.0,0.0,0.00654526893049
325,C3D8,0.0,0.0,0.0,-0.00663344748318
329,C3D8,0.0,0.0,0.0,0.00665008369833
330,C3D8,0.0,0.0,0.0,0.00676396861672
334,C3D8,0.0,0.0,0.0,-0.00689513701946
338,C3D8,0.0,0.0,0.0,0.00707865785807
342,C3D8,0.0,0.0,0.0,-0.00702866492793
346,C3D8,0.0,0.0,0.0,0.00706004025415
350,C3D8,0.0,0.0,0.0,-0.00684214895591
356,C3D8,0.0,0.0,0.0,-0.00672568334267
360,C3D8,0.0,0.0,0.0,0.00653275754303
364,C3D8,0.0,0.0,0.0,-0.00655367877334
368,C3D8,0.0,0.0,0.0,0.00650405092165
372,C3D8,0.0,0.0,0.0,-0.0066059101373
376,C3D8,0.0,0.0,0.0,0.00658962316811
377,C3D8,0.0,0.0,0.0,0.00682657910511
381,C3D8,0.0,0.0,0.0,-0.00690387142822
385,C3D8,0.0,0.0,0.0,0.00703427474946
389,C3D8,0.0,0.0,0.0,-0.00697177974507
393,C3D8,0.0,0.0,0.0,0.00698761083186
397,C3D8,0.0,0.0,0.0,-0.00680875685066
403,C3D8,0.0,0.0,0.0,-0.00667861336842
407,C3D8,0.0,0.0,0.0,0.0065661589615
411,C3D8,0.0,0.0,0.0,-0.00658150576055
415,C3D8,0.0,0.0,0.0,0.00656582601368
419,C3D8,0.0,0.0,0.0,-0.00665412656963
423,C3D8,0.0,0.0,0.0,0.00668854312971
424,C3D8,0.0,0.0,0.0,0.00689159426838
428,C3D8,0.0,0.0,0.0,-0.00685900310054
432,C3D8,0.0,0.0,0.0,0.00684423465282
436,C3D8,0.0,0.0,0.0,-0.0068000247702
440,C3D8,0.0,0.0,0.0,0.00676457304507
444,C3D8,0.0,0.0,0.0,-0.00669152662158
450,C3D8,0.0,0.0,0.0,-0.0066505279392
454,C3D8,0.0,0.0,0.0,0.00667989440262
458,C3D8,0.0,0.0,0.0,-0.00669292779639
462,C3D8,0.0,0.0,0.0,0.0067457286641
466,C3D8,0.0,0.0,0.0,-0.00679314695299
470,C3D8,0.0,0.0,0.0,0.00687799602747
471,C3D8,0.0,0.0,0.0,0.00695888791233
475,C3D8,0.0,0.0,0.0,-0.00690831290558
479,C3D8,0.0,0.0,0.0,0.00678889546543
483,C3D8,0.0,0.0,0.0,-0.00675853854045
487,C3D8,0.0,0.0,0.0,0.00669305725023
491,C3D8,0.0,0.0,0.0,-0.00670088548213
497,C3D8,0.0,0.0,0.0,-0.00664431415498
501,C3D8,0.0,0.0,0.0,0.00675550010055
505,C3D8,0.0,0.0,0.0,-0.00679225241765
