element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.0069516254589
5,C3D8,0.0,0.0,0.0,-0.00693589029834
9,C3D8,0.0,0.0,0.0,0.00685231201351
13,C3D8,0.0,0.0,0.0,-0.00685834791511
17,C3D8,0.0,0.0,0.0,0.00680798245594
21,C3D8,0.0,0.0,0.0,-0.00684238830581
27,C3D8,0.0,0.0,0.0,-0.0067596915178
31,C3D8,0.0,0.0,0.0,0.00684259878471
35,C3D8,0.0,0.0,0.0,-0.00684655457735
39,C3D8,0.0,0.0,0.0,0.00689695589244
43,C3D8,0.0,0.0,0.0,-0.00688035460189
47,C3D8,0.0,0.0,0.0,0.00694571016356
48,C3D8,0.0,0.0,0.0,0.00693559926003
52,C3D8,0.0,0.0,0.0,-0.00683791516349
56,C3D8,0.0,0.0,0.0,0.00671705929562
60,C3D8,0.0,0.0,0.0,-0.00675085932016
64,C3D8,0.0,0.0,0.0,0.00668787118047
68,C3D8,0.0,0.0,0.0,-0.00679636886343
74,C3D8,0.0,0.0,0.0,-0.00681642303243
78,C3D8,0.0,0.0,0.0,0.00696180853993
82,C3D8,0.0,0.0,0.0,-0.00696773733944
86,C3D8,0.0,0.0,0.0,0.00703437719494
90,C3D8,0.0,0.0,0.0,-0.0069885654375
94,C3D8,0.0,0.0,0.0,0.00693137710914
95,C3D8,0.0,0.0,0.0,0.00692167878151
99,C3D8,0.0,0.0,0.0,-0.00682179769501
103,C3D8,0.0,0.0,0.0,0.00667120655999
107,C3D8,0.0,0.0,0.0,-0.00672262022272
111,C3D8,0.0,0.0,0.0,0.00664841756225
115,C3D8,0.0,0.0,0.0,-0.0067998720333
121,C3D8,0.0,0.0,0.0,-0.0068287262693
125,C3D8,0.0,0.0,0.0,0.00700960960239
129,C3D8,0.0,0.0,0.0,-0.00701058190316
133,C3D8,0.0,0.0,0.0,0.00708726840094
137,C3D8,0.0,0.0,0.0,-0.00701101124287
141,C3D8,0.0,0.0,0.0,0.00692874286324
142,C3D8,0.0,0.0,0.0,0.00693601509556
146,C3D8,0.0,0.0,0.0,-0.00682572694495
150,C3D8,0.0,0.0,0.0,0.00669890409335
154,C3D8,0.0,0.0,0.0,-0.00673341890797
158,C3D8,0.0,0.0,0.0,0.006671782583
162,C3D8,0.0,0.0,0.0,-0.00678838510066
168,C3D8,0.0,0.0,0.0,-0.00681867077947
172,C3D8,0.0,0.0,0.0,0.00696624349803
176,C3D8,0.0,0.0,0.0,-0.00697541376576
180,C3D8,0.0,0.0,0.0,0.00704065384343
184,C3D8,0.0,0.0,0.0,-0.00698822457343
188,C3D8,0.0,0.0,0.0,0.00692400895059
189,C3D8,0.0,0.0,0.0,0.00694884825498
193,C3D8,0.0,0.0,0.0,-0.00686383154243
197,C3D8,0.0,0.0,0.0,0.00679565919563
201,C3D8,0.0,0.0,0.0,-0.00679766340181
205,C3D8,0.0,0.0,0.0,0.00675743352622
209,C3D8,0.0,0.0,0.0,-0.00679317489266
215,C3D8,0.0,0.0,0.0,-0.00678842980415
219,C3D8,0.0,0.0,0.0,0.00686262967065
223,C3D8,0.0,0.0,0.0,-0.00687624467537
227,C3D8,0.0,0.0,0.0,0.0069189760834
231,C3D8,0.0,0.0,0.0,-0.00691047124565
235,C3D8,0.0,0.0,0.0,0.00689976476133
236,C3D8,0.0,0.0,0.0,0.0069247642532
240,C3D8,0.0,0.0,0.0,-0.00689528463408
244,C3D8,0.0,0.0,0.0,0.0069129941985
248,C3D8,0.0,0.0,0.0,-0.00688954163343
252,C3D8,0.0,0.0,0.0,0.00687628844753
256,C3D8,0.0,0.0,0.0,-0.00682562962174
262,C3D8,0.0,0.0,0.0,-0.00677715195343
266,C3D8,0.0,0.0,0.0,0.00676328269765
270,C3D8,0.0,0.0,0.0,-0.00677244272083
274,C3D8,0.0,0.0,0.0,0.00678506493568
278,C3D8,0.0,0.0,0.0,-0.00681913970038
282,C3D8,0.0,0.0,0.0,0.00683403061703
283,C3D8,0.0,0.0,0.0,0.00687178317457
287,C3D8,0.0,0.0,0.0,-0.00692141056061
291,C3D8,0.0,0.0,0.0,0.00701262336224
295,C3D8,0.0,0.0,0.0,-0.0069768554531
299,C3D8,0.0,0.0,0.0,0.00699155218899
303,C3D8,0.0,0.0,0.0,-0.00687089934945
309,C3D8,0.0,0.0,0.0,-0.0067996699363
313,C3D8,0.0,0.0,0.0,0.00669827824458
317,C3D8,0.0,0.0,0.0,-0.00670578144491
321,C3D8,0.0,0.0,0.0,0.00668518478051
325,C3D8,0.0,0.0,0.0,-0.00674506090581
329,C3D8,0.0,0.0,0.0,0.00676137628034
330,C3D8,0.0,0.0,0.0,0.00685062352568
334,C3D8,0.0,0.0,0.0,-0.00692251091823
338,C3D8,0.0,0.0,0.0,0.00704613467678
342,C3D8,0.0,0.0,0.0,-0.00700651668012
346,C3D8,0.0,0.0,0.0,0.00703598326072
350,C3D8,0.0,0.0,0.0,-0.00688477465883
356,C3D8,0.0,0.0,0.0,-0.00681761838496
360,C3D8,0.0,0.0,0.0,0.00668150605634
364,C3D8,0.0,0.0,0.0,-0.00668934406713
368,C3D8,0.0,0.0,0.0,0.00665511423722
372,C3D8,0.0,0.0,0.0,-0.00672572059557
376,C3D8,0.0,0.0,0.0,0.00673035345972
377,C3D8,0.0,0.0,0.0,0.00687629403546
381,C3D8,0.0,0.0,0.0,-0.0069219712168
385,C3D8,0.0,0.0,0.0,0.00701274769381
389,C3D8,0.0,0.0,0.0,-0.00697011919692
393,C3D8,0.0,0.0,0.0,0.00699009466916
397,C3D8,0.0,0.0,0.0,-0.00686926674098
403,C3D8,0.0,0.0,0.0,-0.00679857097566
407,C3D8,0.0,0.0,0.0,0.00670957705006
411,C3D8,0.0,0.0,0.0,-0.00671716360375
415,C3D8,0.0,0.0,0.0,0.00669914809987
419,C3D8,0.0,0.0,0.0,-0.0067588724196
423,C3D8,0.0,0.0,0.0,0.00678433850408
424,C3D8,0.0,0.0,0.0,0.00689494377002
428,C3D8,0.0,0.0,0.0,-0.00688453018665
432,C3D8,0.0,0.0,0.0,0.00688476581126
436,C3D8,0.0,0.0,0.0,-0.0068643623963
440,C3D8,0.0,0.0,0.0,0.0068491124548
444,C3D8,0.0,0.0,0.0,-0.00680884625763
450,C3D8,0.0,0.0,0.0,-0.00679484941065
454,C3D8,0.0,0.0,0.0,0.00680190324783
458,C3D8,0.0,0.0,0.0,-0.00680373329669
462,C3D8,0.0,0.0,0.0,0.00682722078636
466,C3D8,0.0,0.0,0.0,-0.00684816110879
470,C3D8,0.0,0.0,0.0,0.00689001427963
471,C3D8,0.0,0.0,0.0,0.00692148553208
475,C3D8,0.0,0.0,0.0,-0.00690938252956
479,C3D8,0.0,0.0,0.0,0.00683952635154
483,C3D8,0.0,0.0,0.0,-0.00683523062617
487,C3D8,0.0,0.0,0.0,0.00679712975398
491,C3D8,0.0,0.0,0.0,-0.00682000769302
497,C3D8,0.0,0.0,0.0,-0.00677905231714
501,C3D8,0.0,0.0,0.0,0.00684758275747
505,C3D8,0.0,0.0,0.0,-0.00685892812908
509,C3D8,0.0,0.0,0.0,0.00690193939954
513,C3D8,0.0,0.0,0.0,-0.00689570698887
517,C3D8,0.0,0.0,0.0,0.0069719478488
518,C3D8,0.0,0.0,0.0,0.00691383099183
522,C3D8,0.0,0.0,0.0,-0.00683131348342
526,C3D8,0.0,0.0,0.0,0.00673232506961
530,C3D8,0.0,0.0,0.0,-0.00674343109131
534,C3D8,0.0,0.0,0.0,0.00670058839023
538,C3D8,0.0,0.0,0.0,-0.00678588449955
544,C3D8,0.0,0.0,0.0,-0.00682979915291
548,C3D8,0.0,0.0,0.0,0.00695397472009
552,C3D8,0.0,0.0,0.0,-0.00697646010667
556,C3D8,0.0,0.0,0.0,0.0070250313729
560,C3D8,0.0,0.0,0.0,-0.00699484441429
564,C3D8,0.0,0.0,0.0,0.00696072168648
565,C3D8,0.0,0.0,0.0,0.00690316222608
569,C3D8,0.0,0.0,0.0,-0.00681411009282
573,C3D8,0.0,0.0,0.0,0.00668019428849
577,C3D8,0.0,0.0,0.0,-0.0067130420357
581,C3D8,0.0,0.0,0.0,0.00665820669383
585,C3D8,0.0,0.0,0.0,-0.0067891520448
591,C3D8,0.0,0.0,0.0,-0.0068440027535
595,C3D8,0.0,0.0,0.0,0.00700877560303
599,C3D8,0.0,0.0,0.0,-0.00702277943492
603,C3D8,0.0,0.0,0.0,0.00708457315341
607,C3D8,0.0,0.0,0.0,-0.00701864250004
611,C3D8,0.0,0.0,0.0,0.00695242267102
612,C3D8,0.0,0.0,0.0,0.00691603496671
616,C3D8,0.0,0.0,0.0,-0.00682364869863
620,C3D8,0.0,0.0,0.0,0.00671291025355
624,C3D8,0.0,0.0,0.0,-0.00672667147592
628,C3D8,0.0,0.0,0.0,0.00668487790972
632,C3D8,0.0,0.0,0.0,-0.00677795754746
638,C3D8,0.0,0.0,0.0,-0.00682921381667
642,C3D8,0.0,0.0,0.0,0.00696324091405
646,C3D8,0.0,0.0,0.0,-0.00698474841192
650,C3D8,0.0,0.0,0.0,0.007035064511
654,C3D8,0.0,0.0,0.0,-0.00699398014694
658,C3D8,0.0,0.0,0.0,0.00695057958364
659,C3D8,0.0,0.0,0.0,0.00692894216627
663,C3D8,0.0,0.0,0.0,-0.00686055701226
667,C3D8,0.0,0.0,0.0,0.00680587207898
671,C3D8,0.0,0.0,0.0,-0.00678831199184
675,C3D8,0.0,0.0,0.0,0.00676749274135
679,C3D8,0.0,0.0,0.0,-0.00677952263504
685,C3D8,0.0,0.0,0.0,-0.00679832929745
689,C3D8,0.0,0.0,0.0,0.00685928761959
693,C3D8,0.0,0.0,0.0,-0.0068857036531
697,C3D8,0.0,0.0,0.0,0.00691373506561
701,C3D8,0.0,0.0,0.0,-0.00691906968132
705,C3D8,0.0,0.0,0.0,0.00692721968517
706,C3D8,0.0,0.0,0.0,0.0069079240784
710,C3D8,0.0,0.0,0.0,-0.00689502572641
714,C3D8,0.0,0.0,0.0,0.00692521873862
718,C3D8,0.0,0.0,0.0,-0.00688012689352
