element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00798426102847
5,C3D8,0.0,0.0,0.0,-0.00796602200717
9,C3D8,0.0,0.0,0.0,0.00786946248263
13,C3D8,0.0,0.0,0.0,-0.00787658058107
17,C3D8,0.0,0.0,0.0,0.00781812425703
21,C3D8,0.0,0.0,0.0,-0.00785712897778
27,C3D8,0.0,0.0,0.0,-0.00776286330074
31,C3D8,0.0,0.0,0.0,0.00785743072629
35,C3D8,0.0,0.0,0.0,-0.00786203145981
39,C3D8,0.0,0.0,0.0,0.00792018137872
43,C3D8,0.0,0.0,0.0,-0.00790196377784
47,C3D8,0.0,0.0,0.0,0.00797819439322
48,C3D8,0.0,0.0,0.0,0.00796491093934
52,C3D8,0.0,0.0,0.0,-0.00785322394222
56,C3D8,0.0,0.0,0.0,0.00771430321038
60,C3D8,0.0,0.0,0.0,-0.00775281665847
64,C3D8,0.0,0.0,0.0,0.00767939211801
68,C3D8,0.0,0.0,0.0,-0.00780428713188
74,C3D8,0.0,0.0,0.0,-0.00782694574445
78,C3D8,0.0,0.0,0.0,0.00799451489002
82,C3D8,0.0,0.0,0.0,-0.00800050888211
86,C3D8,0.0,0.0,0.0,0.00807898119092
90,C3D8,0.0,0.0,0.0,-0.00802510045469
94,C3D8,0.0,0.0,0.0,0.00796133372933
95,C3D8,0.0,0.0,0.0,0.00795064680278
99,C3D8,0.0,0.0,0.0,-0.0078357020393
103,C3D8,0.0,0.0,0.0,0.00766120525077
107,C3D8,0.0,0.0,0.0,-0.00772100547329
111,C3D8,0.0,0.0,0.0,0.00763376103714
115,C3D8,0.0,0.0,0.0,-0.00780972838402
121,C3D8,0.0,0.0,0.0,-0.0078410403803
125,C3D8,0.0,0.0,0.0,0.00804996769875
129,C3D8,0.0,0.0,0.0,-0.00804981961846
133,C3D8,0.0,0.0,0.0,0.00813969783485
137,C3D8,0.0,0.0,0.0,-0.00805089436471
141,C3D8,0.0,0.0,0.0,0.00796009693295
142,C3D8,0.0,0.0,0.0,0.00796439312398
146,C3D8,0.0,0.0,0.0,-0.00783968530595
150,C3D8,0.0,0.0,0.0,0.00769224157557
154,C3D8,0.0,0.0,0.0,-0.00773290498182
158,C3D8,0.0,0.0,0.0,0.00766022689641
162,C3D8,0.0,0.0,0.0,-0.00779472757131
168,C3D8,0.0,0.0,0.0,-0.00782892294228
172,C3D8,0.0,0.0,0.0,0.0079991966486
176,C3D8,0.0,0.0,0.0,-0.00800913851708
180,C3D8,0.0,0.0,0.0,0.00808477215469
184,C3D8,0.0,0.0,0.0,-0.00802458170801
188,C3D8,0.0,0.0,0.0,0.00795175880194
189,C3D8,0.0,0.0,0.0,0.00797775574028
193,C3D8,0.0,0.0,0.0,-0.00788156874478
197,C3D8,0.0,0.0,0.0,0.0078011569567
201,C3D8,0.0,0.0,0.0,-0.0078048184514
205,C3D8,0.0,0.0,0.0,0.00775774288923
209,C3D8,0.0,0.0,0.0,-0.0077991518192
215,C3D8,0.0,0.0,0.0,-0.00779412174597
219,C3D8,0.0,0.0,0.0,0.00787915475667
223,C3D8,0.0,0.0,0.0,-0.00789517350495
227,C3D8,0.0,0.0,0.0,0.00794383697212
231,C3D8,0.0,0.0,0.0,-0.00793441943824
235,C3D8,0.0,0.0,0.0,0.00792238675058
236,C3D8,0.0,0.0,0.0,0.00794999487698
240,C3D8,0.0,0.0,0.0,-0.0079153785482
244,C3D8,0.0,0.0,0.0,0.00793695729226
248,C3D8,0.0,0.0,0.0,-0.00790910888463
252,C3D8,0.0,0.0,0.0,0.00789536722004
256,C3D8,0.0,0.0,0.0,-0.00783688295633
262,C3D8,0.0,0.0,0.0,-0.00778064969927
266,C3D8,0.0,0.0,0.0,0.00776565028355
270,C3D8,0.0,0.0,0.0,-0.00777542497963
274,C3D8,0.0,0.0,0.0,0.00778989912942
278,C3D8,0.0,0.0,0.0,-0.00782879255712
282,C3D8,0.0,0.0,0.0,0.00784674379975
283,C3D8,0.0,0.0,0.0,0.00789023190737
