element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00978975184262
5,C3D8,0.0,0.0,0.0,-0.00707723712549
9,C3D8,0.0,0.0,0.0,0.0069077834487
13,C3D8,0.0,0.0,0.0,-0.00764082884416
17,C3D8,0.0,0.0,0.0,0.0077445730567
21,C3D8,0.0,0.0,0.0,-0.00788794457912
27,C3D8,0.0,0.0,0.0,-0.0102310813963
31,C3D8,0.0,0.0,0.0,0.00817891024053
35,C3D8,0.0,0.0,0.0,-0.010096218437
39,C3D8,0.0,0.0,0.0,0.0133948791772
43,C3D8,0.0,0.0,0.0,-0.0151025224477
47,C3D8,0.0,0.0,0.0,0.00993051659316
48,C3D8,0.0,0.0,0.0,0.0102226743475
52,C3D8,0.0,0.0,0.0,-0.0112524013966
56,C3D8,0.0,0.0,0.0,0.0107013089582
60,C3D8,0.0,0.0,0.0,-0.00991982873529
64,C3D8,0.0,0.0,0.0,0.009794796817
68,C3D8,0.0,0.0,0.0,-0.0106952041388
74,C3D8,0.0,0.0,0.0,-0.0113304322585
78,C3D8,0.0,0.0,0.0,0.0108149526641
82,C3D8,0.0,0.0,0.0,-0.0136732663959
86,C3D8,0.0,0.0,0.0,0.0132860783488
90,C3D8,0.0,0.0,0.0,-0.0130507331342
94,C3D8,0.0,0.0,0.0,0.0102964825928
95,C3D8,0.0,0.0,0.0,0.010629966855
99,C3D8,0.0,0.0,0.0,-0.0094287795946
103,C3D8,0.0,0.0,0.0,0.0082733752206
107,C3D8,0.0,0.0,0.0,-0.0101550668478
111,C3D8,0.0,0.0,0.0,0.010298686102
115,C3D8,0.0,0.0,0.0,-0.0104302782565
121,C3D8,0.0,0.0,0.0,-0.0110978987068
125,C3D8,0.0,0.0,0.0,0.0110912919044
129,C3D8,0.0,0.0,0.0,-0.01187052764
133,C3D8,0.0,0.0,0.0,0.00951295159757
137,C3D8,0.0,0.0,0.0,-0.00944418087602
141,C3D8,0.0,0.0,0.0,0.010254140012
142,C3D8,0.0,0.0,0.0,0.0110851395875
146,C3D8,0.0,0.0,0.0,-0.0087410621345
150,C3D8,0.0,0.0,0.0,0.00877795275301
154,C3D8,0.0,0.0,0.0,-0.00983144063503
158,C3D8,0.0,0.0,0.0,0.00878990907222
162,C3D8,0.0,0.0,0.0,-0.00914877373725
168,C3D8,0.0,0.0,0.0,-0.0114441057667
172,C3D8,0.0,0.0,0.0,0.0106852343306
176,C3D8,0.0,0.0,0.0,-0.00832041352987
180,C3D8,0.0,0.0,0.0,0.0110482918099
184,C3D8,0.0,0.0,0.0,-0.0135022643954
188,C3D8,0.0,0.0,0.0,0.0107916928828
189,C3D8,0.0,0.0,0.0,0.0103056719527
193,C3D8,0.0,0.0,0.0,-0.0116017600521
197,C3D8,0.0,0.0,0.0,0.0113088544458
201,C3D8,0.0,0.0,0.0,-0.0106027424335
205,C3D8,0.0,0.0,0.0,0.0102431187406
209,C3D8,0.0,0.0,0.0,-0.0101940771565
215,C3D8,0.0,0.0,0.0,-0.00817100517452
219,C3D8,0.0,0.0,0.0,0.00998020358384
223,C3D8,0.0,0.0,0.0,-0.0100554507226
227,C3D8,0.0,0.0,0.0,0.0101697742939
231,C3D8,0.0,0.0,0.0,-0.00994041655213
235,C3D8,0.0,0.0,0.0,0.0103002153337
236,C3D8,0.0,0.0,0.0,0.0101421484724
