element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00908926967531
5,C3D8,0.0,0.0,0.0,-0.00906782224774
9,C3D8,0.0,0.0,0.0,0.00895696040243
13,C3D8,0.0,0.0,0.0,-0.00896357744932
17,C3D8,0.0,0.0,0.0,0.00889690220356
21,C3D8,0.0,0.0,0.0,-0.00893954280764
27,C3D8,0.0,0.0,0.0,-0.00883208960295
31,C3D8,0.0,0.0,0.0,0.00894018262625
35,C3D8,0.0,0.0,0.0,-0.00894635543227
39,C3D8,0.0,0.0,0.0,0.00901360902935
43,C3D8,0.0,0.0,0.0,-0.00899323634803
47,C3D8,0.0,0.0,0.0,0.00908261071891
48,C3D8,0.0,0.0,0.0,0.00906564574689
52,C3D8,0.0,0.0,0.0,-0.00894095655531
56,C3D8,0.0,0.0,0.0,0.00877960398793
60,C3D8,0.0,0.0,0.0,-0.00882430654019
64,C3D8,0.0,0.0,0.0,0.00873941928148
68,C3D8,0.0,0.0,0.0,-0.0088826706633
74,C3D8,0.0,0.0,0.0,-0.00890657212585
78,C3D8,0.0,0.0,0.0,0.00909889116883
82,C3D8,0.0,0.0,0.0,-0.00910560693592
86,C3D8,0.0,0.0,0.0,0.00919572450221
90,C3D8,0.0,0.0,0.0,-0.00913400761783
94,C3D8,0.0,0.0,0.0,0.00906239449978
95,C3D8,0.0,0.0,0.0,0.0090472009033
99,C3D8,0.0,0.0,0.0,-0.00892039947212
103,C3D8,0.0,0.0,0.0,0.00871920026839
107,C3D8,0.0,0.0,0.0,-0.00878809764981
111,C3D8,0.0,0.0,0.0,0.00868785381317
115,C3D8,0.0,0.0,0.0,-0.0088898902759
121,C3D8,0.0,0.0,0.0,-0.00892241485417
125,C3D8,0.0,0.0,0.0,0.00916206557304
129,C3D8,0.0,0.0,0.0,-0.00916156731546
133,C3D8,0.0,0.0,0.0,0.00926420278847
137,C3D8,0.0,0.0,0.0,-0.0091620311141
141,C3D8,0.0,0.0,0.0,0.00905872043222
142,C3D8,0.0,0.0,0.0,0.00906562525779
146,C3D8,0.0,0.0,0.0,-0.00892448797822
150,C3D8,0.0,0.0,0.0,0.00875507574528
154,C3D8,0.0,0.0,0.0,-0.00880160462111
158,C3D8,0.0,0.0,0.0,0.00871780142188
162,C3D8,0.0,0.0,0.0,-0.00887236744165
168,C3D8,0.0,0.0,0.0,-0.00890956167132
172,C3D8,0.0,0.0,0.0,0.00910355895758
176,C3D8,0.0,0.0,0.0,-0.00911545567214
180,C3D8,0.0,0.0,0.0,0.00920182280242
184,C3D8,0.0,0.0,0.0,-0.00913306325674
188,C3D8,0.0,0.0,0.0,0.00905151665211
189,C3D8,0.0,0.0,0.0,0.0090825650841
193,C3D8,0.0,0.0,0.0,-0.0089718690142
197,C3D8,0.0,0.0,0.0,0.00888057798147
201,C3D8,0.0,0.0,0.0,-0.00888296868652
205,C3D8,0.0,0.0,0.0,0.00882954336703
209,C3D8,0.0,0.0,0.0,-0.00887512136251
215,C3D8,0.0,0.0,0.0,-0.00887041073292
219,C3D8,0.0,0.0,0.0,0.00896664243191
223,C3D8,0.0,0.0,0.0,-0.00898533407599
227,C3D8,0.0,0.0,0.0,0.00904156453907
231,C3D8,0.0,0.0,0.0,-0.00903098005801
235,C3D8,0.0,0.0,0.0,0.00901978462934
236,C3D8,0.0,0.0,0.0,0.00904852245003
240,C3D8,0.0,0.0,0.0,-0.00900904275477
244,C3D8,0.0,0.0,0.0,0.00903403572738
248,C3D8,0.0,0.0,0.0,-0.00900103338063
252,C3D8,0.0,0.0,0.0,0.00898579321802
256,C3D8,0.0,0.0,0.0,-0.00891744624823
262,C3D8,0.0,0.0,0.0,-0.00885380711406
266,C3D8,0.0,0.0,0.0,0.00883692875504
270,C3D8,0.0,0.0,0.0,-0.0088487342
274,C3D8,0.0,0.0,0.0,0.00886547006667
278,C3D8,0.0,0.0,0.0,-0.00891135632992
282,C3D8,0.0,0.0,0.0,0.00893277395517
283,C3D8,0.0,0.0,0.0,0.00897778198123
287,C3D8,0.0,0.0,0.0,-0.00904177967459
291,C3D8,0.0,0.0,0.0,0.00916549284011
295,C3D8,0.0,0.0,0.0,-0.00911511853337
299,C3D8,0.0,0.0,0.0,0.00913802720606
303,C3D8,0.0,0.0,0.0,-0.00897521525621
309,C3D8,0.0,0.0,0.0,-0.00888562761247
313,C3D8,0.0,0.0,0.0,0.00875151064247
317,C3D8,0.0,0.0,0.0,-0.00876362994313
321,C3D8,0.0,0.0,0.0,0.00873440783471
325,C3D8,0.0,0.0,0.0,-0.00881598610431
329,C3D8,0.0,0.0,0.0,0.00883618742228
330,C3D8,0.0,0.0,0.0,0.00895013473928
334,C3D8,0.0,0.0,0.0,-0.00904226768762
338,C3D8,0.0,0.0,0.0,0.00920921750367
