element,type,sdv9,sdv8,sdv7,sdv4
1,C3D8,0.0,0.0,0.0,0.00707061029971
5,C3D8,0.0,0.0,0.0,-0.00695743458346
9,C3D8,0.0,0.0,0.0,0.00675220694393
13,C3D8,0.0,0.0,0.0,-0.00670216418803
17,C3D8,0.0,0.0,0.0,0.00657743401825
21,C3D8,0.0,0.0,0.0,-0.00657255202532
27,C3D8,0.0,0.0,0.0,-0.00642556976527
31,C3D8,0.0,0.0,0.0,0.00661352649331
35,C3D8,0.0,0.0,0.0,-0.00667299563065
39,C3D8,0.0,0.0,0.0,0.00680293655023
43,C3D8,0.0,0.0,0.0,-0.00683342944831
47,C3D8,0.0,0.0,0.0,0.00704069063067
48,C3D8,0.0,0.0,0.0,0.00699674338102
52,C3D8,0.0,0.0,0.0,-0.00675652129576
56,C3D8,0.0,0.0,0.0,0.00649103475735
60,C3D8,0.0,0.0,0.0,-0.00650241784751
64,C3D8,0.0,0.0,0.0,0.00635340251029
68,C3D8,0.0,0.0,0.0,-0.00650396710262
74,C3D8,0.0,0.0,0.0,-0.00656923372298
78,C3D8,0.0,0.0,0.0,0.00688173994422
82,C3D8,0.0,0.0,0.0,-0.0069364416413
86,C3D8,0.0,0.0,0.0,0.00710551207885
90,C3D8,0.0,0.0,0.0,-0.00705943442881
94,C3D8,0.0,0.0,0.0,0.00698207784444
95,C3D8,0.0,0.0,0.0,0.00694885943085
99,C3D8,0.0,0.0,0.0,-0.0067248637788
103,C3D8,0.0,0.0,0.0,0.00640833564103
107,C3D8,0.0,0.0,0.0,-0.0064609060064
111,C3D8,0.0,0.0,0.0,0.00629057921469
115,C3D8,0.0,0.0,0.0,-0.00653594732285
121,C3D8,0.0,0.0,0.0,-0.00662269443274
125,C3D8,0.0,0.0,0.0,0.00700361421332
129,C3D8,0.0,0.0,0.0,-0.00704492023215
133,C3D8,0.0,0.0,0.0,0.00722863618284
137,C3D8,0.0,0.0,0.0,-0.00710960431024
141,C3D8,0.0,0.0,0.0,0.00695942249149
142,C3D8,0.0,0.0,0.0,0.00700016319752
146,C3D8,0.0,0.0,0.0,-0.00673254579306
150,C3D8,0.0,0.0,0.0,0.00645295577124
154,C3D8,0.0,0.0,0.0,-0.00646987557411
158,C3D8,0.0,0.0,0.0,0.00632084207609
162,C3D8,0.0,0.0,0.0,-0.00649183336645
168,C3D8,0.0,0.0,0.0,-0.00658172834665
172,C3D8,0.0,0.0,0.0,0.0068841916509
176,C3D8,0.0,0.0,0.0,-0.00695637566969
180,C3D8,0.0,0.0,0.0,0.00711196102202
184,C3D8,0.0,0.0,0.0,-0.00705857481807
188,C3D8,0.0,0.0,0.0,0.00696489820257
189,C3D8,0.0,0.0,0.0,0.00704462826252
193,C3D8,0.0,0.0,0.0,-0.00680324435234
197,C3D8,0.0,0.0,0.0,0.00662754056975
201,C3D8,0.0,0.0,0.0,-0.00657895207405
205,C3D8,0.0,0.0,0.0,0.00646795425564
209,C3D8,0.0,0.0,0.0,-0.00648235157132
215,C3D8,0.0,0.0,0.0,-0.00647595524788
219,C3D8,0.0,0.0,0.0,0.00664351973683
223,C3D8,0.0,0.0,0.0,-0.00672289822251
227,C3D8,0.0,0.0,0.0,0.00683764740825
231,C3D8,0.0,0.0,0.0,-0.00687735062093
235,C3D8,0.0,0.0,0.0,0.00692277448252
236,C3D8,0.0,0.0,0.0,0.00693646539003
240,C3D8,0.0,0.0,0.0,-0.00684209028259
244,C3D8,0.0,0.0,0.0,0.00684613222256
248,C3D8,0.0,0.0,0.0,-0.0067716948688
252,C3D8,0.0,0.0,0.0,0.00670645385981
256,C3D8,0.0,0.0,0.0,-0.00658877193928
262,C3D8,0.0,0.0,0.0,-0.00643589394167
266,C3D8,0.0,0.0,0.0,0.00645741634071
270,C3D8,0.0,0.0,0.0,-0.00650047650561
274,C3D8,0.0,0.0,0.0,0.00656656781211
278,C3D8,0.0,0.0,0.0,-0.00665916828439
282,C3D8,0.0,0.0,0.0,0.00673668738455
283,C3D8,0.0,0.0,0.0,0.00672561815009
287,C3D8,0.0,0.0,0.0,-0.0068546012044
291,C3D8,0.0,0.0,0.0,0.00702529819682
295,C3D8,0.0,0.0,0.0,-0.0069629480131
299,C3D8,0.0,0.0,0.0,0.00695954915136
303,C3D8,0.0,0.0,0.0,-0.00673199351877
309,C3D8,0.0,0.0,0.0,-0.0065307947807
313,C3D8,0.0,0.0,0.0,0.00637391163036
317,C3D8,0.0,0.0,0.0,-0.00640608137473
321,C3D8,0.0,0.0,0.0,0.00638885609806
325,C3D8,0.0,0.0,0.0,-0.00650294777006
329,C3D8,0.0,0.0,0.0,0.00651318440214
330,C3D8,0.0,0.0,0.0,0.00663716252893
334,C3D8,0.0,0.0,0.0,-0.00683672819287
338,C3D8,0.0,0.0,0.0,0.00707956077531
